customer_id,customer_name,email,country_code,customer_segment,updated_at
C00043,Customer 00043,customer00043@example.com,DE,smb,2025-01-01T00:00:00
C00044,Customer 00044,customer00044@example.com,FR,strategic,2025-01-01T00:00:00
C00045,Customer 00045,customer00045@example.com,AT,mid_market,2025-01-01T00:00:00
C00046,Customer 00046,customer00046@example.com,DE,strategic,2025-01-01T00:00:00
C00047,Customer 00047,customer00047@example.com,CH,enterprise,2025-01-01T00:00:00
C00048,Customer 00048,customer00048@example.com,CH,mid_market,2025-01-01T00:00:00
C00049,Customer 00049,customer00049@example.com,DE,strategic,2025-01-01T00:00:00
C00050,Customer 00050,customer00050@example.com,CH,strategic,2025-01-01T00:00:00
C00051,Customer 00051,customer00051@example.com,FR,strategic,2025-01-01T00:00:00
C00052,Customer 00052,customer00052@example.com,AT,enterprise,2025-01-01T00:00:00
C00053,Customer 00053,customer00053@example.com,CH,smb,2025-01-01T00:00:00
C00054,Customer 00054,customer00054@example.com,AT,enterprise,2025-01-01T00:00:00
C00055,Customer 00055,customer00055@example.com,AT,strategic,2025-01-01T00:00:00
C00056,Customer 00056,customer00056@example.com,DE,strategic,2025-01-01T00:00:00
C00057,Customer 00057,customer00057@example.com,CH,smb,2025-01-01T00:00:00
C00058,Customer 00058,customer00058@example.com,DE,enterprise,2025-01-01T00:00:00
C00059,Customer 00059,customer00059@example.com,AT,mid_market,2025-01-01T00:00:00
C00060,Customer 00060,customer00060@example.com,DE,smb,2025-01-01T00:00:00
C00061,Customer 00061,customer00061@example.com,DE,enterprise,2025-01-01T00:00:00
C00062,Customer 00062,customer00062@example.com,AT,strategic,2025-01-01T00:00:00
C00063,Customer 00063,customer00063@example.com,CH,enterprise,2025-01-01T00:00:00
C00064,Customer 00064,customer00064@example.com,AT,smb,2025-01-01T00:00:00
C00065,Customer 00065,customer00065@example.com,DE,enterprise,2025-01-01T00:00:00
C00066,Customer 00066,customer00066@example.com,DE,enterprise,2025-01-01T00:00:00
C00067,Customer 00067,customer00067@example.com,CH,strategic,2025-01-01T00:00:00
C00068,Customer 00068,customer00068@example.com,CH,mid_market,2025-01-01T00:00:00
C00069,Customer 00069,customer00069@example.com,DE,strategic,2025-01-01T00:00:00
C00070,Customer 00070,customer00070@example.com,DE,smb,2025-01-01T00:00:00
C00071,Customer 00071,customer00071@example.com,FR,mid_market,2025-01-01T00:00:00
C00072,Customer 00072,customer00072@example.com,DE,smb,2025-01-01T00:00:00
C00073,Customer 00073,customer00073@example.com,FR,smb,2025-01-01T00:00:00
C00074,Customer 00074,customer00074@example.com,FR,strategic,2025-01-01T00:00:00
C00075,Customer 00075,customer00075@example.com,CH,mid_market,2025-01-01T00:00:00
C00076,Customer 00076,customer00076@example.com,DE,enterprise,2025-01-01T00:00:00
C00077,Customer 00077,customer00077@example.com,AT,enterprise,2025-01-01T00:00:00
C00078,Customer 00078,customer00078@example.com,DE,mid_market,2025-01-01T00:00:00
C00079,Customer 00079,customer00079@example.com,CH,enterprise,2025-01-01T00:00:00
C00080,Customer 00080,customer00080@example.com,CH,mid_market,2025-01-01T00:00:00
C00081,Customer 00081,customer00081@example.com,CH,enterprise,2025-01-01T00:00:00
C00082,Customer 00082,customer00082@example.com,AT,enterprise,2025-01-01T00:00:00
C00083,Customer 00083,customer00083@example.com,DE,smb,2025-01-01T00:00:00
C00084,Customer 00084,customer00084@example.com,FR,mid_market,2025-01-01T00:00:00
C00085,Customer 00085,customer00085@example.com,DE,strategic,2025-01-01T00:00:00
C00086,Customer 00086,customer00086@example.com,DE,strategic,2025-01-01T00:00:00
C00087,Customer 00087,customer00087@example.com,FR,mid_market,2025-01-01T00:00:00
C00088,Customer 00088,customer00088@example.com,CH,enterprise,2025-01-01T00:00:00
C00089,Customer 00089,customer00089@example.com,FR,smb,2025-01-01T00:00:00
C00090,Customer 00090,customer00090@example.com,FR,strategic,2025-01-01T00:00:00
C00091,Customer 00091,customer00091@example.com,FR,enterprise,2025-01-01T00:00:00
C00092,Customer 00092,customer00092@example.com,CH,enterprise,2025-01-01T00:00:00
C00093,Customer 00093,customer00093@example.com,FR,smb,2025-01-01T00:00:00
C00094,Customer 00094,customer00094@example.com,CH,mid_market,2025-01-01T00:00:00
C00095,Customer 00095,customer00095@example.com,DE,mid_market,2025-01-01T00:00:00
C00096,Customer 00096,customer00096@example.com,FR,mid_market,2025-01-01T00:00:00
C00097,Customer 00097,customer00097@example.com,FR,mid_market,2025-01-01T00:00:00
C00098,Customer 00098,customer00098@example.com,AT,strategic,2025-01-01T00:00:00
C00099,Customer 00099,customer00099@example.com,DE,enterprise,2025-01-01T00:00:00
C00100,Customer 00100,customer00100@example.com,FR,enterprise,2025-01-01T00:00:00
